dt x z theta phi_a v_a new_xc new_d_theta phi_t v_t
0.0070 -2.3692 8.1919 1.0387 0.3988 2.5271 0.8692 -0.5321 0.3990 2.3980
0.0070 -2.3602 8.2070 1.0329 0.3988 2.5220 0.8602 -0.5379 0.3990 2.3980
0.0070 -2.3511 8.2221 1.0271 0.3988 2.5170 0.8511 -0.5437 0.3990 2.3980
0.0070 -2.3419 8.2371 1.0213 0.3988 2.5120 0.8419 -0.5495 0.3990 2.3980
0.0070 -2.3326 8.2520 1.0155 0.3988 2.5071 0.8326 -0.5553 0.3990 2.3980
0.0070 -2.3233 8.2668 1.0097 0.3988 2.5021 0.8233 -0.5611 0.3990 2.3980
0.0070 -2.3139 8.2816 1.0040 0.3988 2.4972 0.8139 -0.5668 0.3990 2.3980
0.0070 -2.3045 8.2962 0.9982 0.3988 2.4924 0.8045 -0.5726 0.3990 2.3980
0.0070 -2.2950 8.3108 0.9925 0.3988 2.4876 0.7950 -0.5783 0.3990 2.3980
0.0070 -2.2854 8.3253 0.9868 0.3988 2.4828 0.7854 -0.5840 0.3990 2.3980
0.0070 -2.2757 8.3397 0.9811 0.3988 2.4780 0.7757 -0.5897 0.3990 2.3980
0.0070 -2.2660 8.3541 0.9754 0.3988 2.4733 0.7660 -0.5954 0.3990 2.3980
0.0070 -2.2563 8.3683 0.9697 0.3988 2.4686 0.7563 -0.6011 0.3990 2.3980
0.0070 -2.2464 8.3825 0.9640 0.3988 2.4640 0.7464 -0.6068 0.3990 2.3980
0.0070 -2.2365 8.3966 0.9583 0.3988 2.4594 0.7365 -0.6125 0.3990 2.3980
0.0070 -2.2266 8.4106 0.9527 0.3988 2.4549 0.7266 -0.6181 0.3990 2.3980
0.0070 -2.2165 8.4245 0.9470 0.3988 2.4504 0.7165 -0.6238 0.3990 2.3980
0.0070 -2.2065 8.4383 0.9414 0.3988 2.4459 0.7065 -0.6294 0.3990 2.3980
0.0070 -2.1963 8.4521 0.9358 0.3988 2.4415 0.6963 -0.6350 0.3990 2.3980
0.0070 -2.1861 8.4658 0.9301 0.3988 2.4372 0.6861 -0.6407 0.3990 2.3980
0.0070 -2.1759 8.4794 0.9245 0.3988 2.4329 0.6759 -0.6463 0.3990 2.3980
0.0070 -2.1656 8.4929 0.9189 0.3988 2.4286 0.6656 -0.6519 0.3990 2.3980
0.0070 -2.1552 8.5063 0.9133 0.3988 2.4244 0.6552 -0.6574 0.3990 2.3980
0.0070 -2.1448 8.5197 0.9078 0.3988 2.4203 0.6448 -0.6630 0.3990 2.3980
0.0070 -2.1343 8.5330 0.9022 0.3988 2.4162 0.6343 -0.6686 0.3990 2.3980
